time,rfe,rfe_filled
2017-09-30,-.05,-.05
2017-10-05,-1.56,-1.56
2017-10-10,22.81,22.81
2017-10-15,12.61,12.61
2017-10-20,-.21,-.21
2017-10-25,-5.09,-5.09
2017-10-31,12.64,12.64
2017-11-05,-8.66,-8.66
2017-11-10,9.55,9.55
2017-11-15,7.84,7.84
2017-11-20,-4.24,-4.24
2017-11-25,9.93,9.93
2017-11-30,3.71,3.71
2017-12-05,1.91,1.91
2017-12-10,2.05,2.05
2017-12-15,9.60,9.60
2017-12-20,-8.40,-8.40
2017-12-25,1.01,1.01
2017-12-31,-3.49,-3.49
2018-01-05,-18.76,-18.76
2018-01-10,-20.34,-20.34
2018-01-15,-18.56,-18.56
2018-01-20,-11.88,-11.88
2018-01-25,-14.78,-14.78
2018-01-31,-1.40,-1.40
2018-02-05,9.99,9.99
2018-02-10,36.09,36.09
2018-02-15,-.67,-.67
2018-02-20,-2.92,-2.92
2018-02-25,21.59,21.59
2018-02-28,13.20,13.20
2018-03-05,11.37,11.37
2018-03-10,4.62,4.62
2018-03-15,-.42,-.42
2018-03-20,-.98,-.98
2018-03-25,-4.15,-4.15
2018-03-31,-1.15,-1.15
2018-04-05,8.75,8.75
2018-04-10,20.18,20.18
2018-04-15,23.80,23.80
2018-04-20,-2.96,-2.96
2018-04-25,-4.40,-4.40
2018-04-30,-2.46,-2.46
